Date,Housing Supply NSW (thousands),Housing Supply VIC (thousands)
2019-Q1,3191.0,2662.0
2019-Q2,3207.0,2677.0
2019-Q3,3221.0,2690.0
2019-Q4,3236.0,2707.0
2020-Q1,3246.0,2718.0
2020-Q2,3259.0,2732.0
2020-Q3,3278.0,2745.0
2020-Q4,3295.0,2761.0
2021-Q1,3311.0,2772.0
2021-Q2,3328.0,2788.0
2021-Q3,3344.0,2804.0
2021-Q4,3357.0,2817.0
2022-Q1,3366.0,2827.0
2022-Q2,3376.0,2839.0
2022-Q3,3387.0,2853.0
2022-Q4,3399.0,2867.0
2023-Q1,3409.0,2878.0
2023-Q2,3420.0,2888.0
2023-Q3,3431.0,2901.0
2023-Q4,3442.0,2915.0
2024-Q1,3451.0,2926.0
2024-Q2,3462.0,2941.0
2024-Q3,3472.0,2954.0
2024-Q4,3484.0,2968.0
