Date,Population NSW,Population VIC
2019-Q1,8032991,6518716
2019-Q2,8046748,6537305
2019-Q3,8071350,6567898
2019-Q4,8088361,6590050
2020-Q1,8112001,6616636
2020-Q2,8110610,6615046
2020-Q3,8098905,6591437
2020-Q4,8094300,6567195
2021-Q1,8093015,6555302
2021-Q2,8097062,6547822
2021-Q3,8096719,6543116
2021-Q4,8117057,6555013
2022-Q1,8153203,6591580
2022-Q2,8182098,6615232
2022-Q3,8223908,6657690
2022-Q4,8264048,6700395
2023-Q1,8317329,6757251
2023-Q2,8356387,6797169
2023-Q3,8406338,6845666
2023-Q4,8437334,6881068
2024-Q1,8477401,6928534
2024-Q2,8492050,6950961
2024-Q3,8518984,6982339
2024-Q4,8536892,7005996
