Date,Rental NSW ($),Rental VIC ($)
2019-Q1,482.0,388.0
2019-Q2,482.0,388.0
2019-Q3,480.0,390.0
2019-Q4,480.0,390.0
2020-Q1,480.0,393.0
2020-Q2,470.0,390.0
2020-Q3,470.0,390.0
2020-Q4,470.0,388.0
2021-Q1,470.0,383.0
2021-Q2,470.0,380.0
2021-Q3,477.0,384.0
2021-Q4,480.0,385.0
2022-Q1,482.0,390.0
2022-Q2,492.0,395.0
2022-Q3,500.0,400.0
2022-Q4,515.0,405.0
2023-Q1,530.0,417.0
2023-Q2,550.0,425.0
2023-Q3,568.0,441.0
2023-Q4,585.0,452.0
2024-Q1,600.0,465.0
2024-Q2,617.0,478.0
2024-Q3,632.0,497.0
2024-Q4,647.0,500.0
