Date,State,GDP ($ million),Unemployment rate (%),Housing Supply,International Student Enrolments,Population,Rental
2019-Q1,NSW,602960,5.0,3191.0,240549.0,8032991.0,482.0
2019-Q1,VIC,602960,5.0,2662.0,210652.0,6518716.0,388.0
2019-Q2,NSW,604702,5.2,3207.0,30419.0,8046748.0,482.0
2019-Q2,VIC,604702,5.2,2677.0,20494.0,6537305.0,388.0
2019-Q3,NSW,608205,5.3,3221.0,62728.0,8071350.0,480.0
2019-Q3,VIC,608205,5.3,2690.0,51931.0,6567898.0,390.0
2019-Q4,NSW,611838,5.2,3236.0,31125.0,8088361.0,480.0
2019-Q4,VIC,611838,5.2,2707.0,24256.0,6590050.0,390.0
2020-Q1,NSW,610616,5.2,3246.0,248610.0,8112001.0,480.0
2020-Q1,VIC,610616,5.2,2718.0,216682.0,6616636.0,393.0
2020-Q2,NSW,569302,6.9,3259.0,25502.0,8110610.0,470.0
2020-Q2,VIC,569302,6.9,2732.0,18752.0,6615046.0,390.0
2020-Q3,NSW,589061,7.0,3278.0,42147.0,8098905.0,470.0
2020-Q3,VIC,589061,7.0,2745.0,31739.0,6591437.0,390.0
2020-Q4,NSW,609132,6.8,3295.0,19574.0,8094300.0,470.0
2020-Q4,VIC,609132,6.8,2761.0,15548.0,6567195.0,388.0
2021-Q1,NSW,622533,5.9,3311.0,209580.0,8093015.0,470.0
2021-Q1,VIC,622533,5.9,2772.0,178297.0,6555302.0,383.0
2021-Q2,NSW,627402,5.2,3328.0,18311.0,8097062.0,470.0
2021-Q2,VIC,627402,5.2,2788.0,13586.0,6547822.0,380.0
2021-Q3,NSW,616635,4.7,3344.0,31605.0,8096719.0,477.0
2021-Q3,VIC,616635,4.7,2804.0,24398.0,6543116.0,384.0
2021-Q4,NSW,638966,4.7,3357.0,13197.0,8117057.0,480.0
2021-Q4,VIC,638966,4.7,2817.0,10941.0,6555013.0,385.0
2022-Q1,NSW,645302,4.1,3366.0,186133.0,8153203.0,482.0
2022-Q1,VIC,645302,4.1,2827.0,146795.0,6591580.0,390.0
2022-Q2,NSW,651345,3.8,3376.0,24747.0,8182098.0,492.0
2022-Q2,VIC,651345,3.8,2839.0,15518.0,6615232.0,395.0
2022-Q3,NSW,654601,3.5,3387.0,51614.0,8223908.0,500.0
2022-Q3,VIC,654601,3.5,2853.0,37683.0,6657690.0,400.0
2022-Q4,NSW,659723,3.5,3399.0,27420.0,8264048.0,515.0
2022-Q4,VIC,659723,3.5,2867.0,22337.0,6700395.0,405.0
2023-Q1,NSW,663371,3.6,3409.0,234547.0,8317329.0,530.0
2023-Q1,VIC,663371,3.6,2878.0,180802.0,6757251.0,417.0
2023-Q2,NSW,666020,3.6,3420.0,36442.0,8356387.0,550.0
2023-Q2,VIC,666020,3.6,2888.0,25220.0,6797169.0,425.0
2023-Q3,NSW,668997,3.7,3431.0,70838.0,8406338.0,568.0
2023-Q3,VIC,668997,3.7,2901.0,56015.0,6845666.0,441.0
2023-Q4,NSW,668330,3.9,3442.0,30076.0,8437334.0,585.0
2023-Q4,VIC,668330,3.9,2915.0,23863.0,6881068.0,452.0
2024-Q1,NSW,670670,3.9,3451.0,280011.0,8477401.0,600.0
2024-Q1,VIC,670670,3.9,2926.0,222744.0,6928534.0,465.0
2024-Q2,NSW,672028,4.0,3462.0,35002.0,8492050.0,617.0
2024-Q2,VIC,672028,4.0,2941.0,25515.0,6950961.0,478.0
2024-Q3,NSW,674335,4.1,3472.0,71203.0,8518984.0,632.0
2024-Q3,VIC,674335,4.1,2954.0,55454.0,6982339.0,497.0
2024-Q4,NSW,676456,4.0,3484.0,29267.0,8536892.0,647.0
2024-Q4,VIC,676456,4.0,2968.0,24133.0,7005996.0,500.0
